Rating,3M,6M,1Y,1.5Y,2Y
AAA,0.20,0.28,0.30,0.39,0.48
AA,0.21,0.27,0.28,0.38,0.48
A,0.23,0.40,0.44,0.53,0.61
BBB,0.23,0.40,0.44,0.53,0.61
Below BBB or unrated,0.30,0.53,0.57,0.68,0.79
