Label,Value
Cash and deposits,-
Sovereign bonds,1E-13
Corporate bonds (non-financial),4.3E-13
Corporate bonds (financial),8E-13
Securitisation and ABCPs,4E-13
Shares issued by other MMFs,2.7E-13
Other (incl. repos),4.7E-13
