ExchangeRateName,Shock
EURCZK,6
EURHUF,16
EURPLN,10
EURRON,3
EURSEK,11
EURRSD,2
EURNOK,9
EURGBP,10
EURCHF,6
EURRUB,46
EURTRY,20
USDCAD,-5
EURUSD,6
AUDUSD,8
NZDUSD,7
USDARS,9
USDBRL,-18
USDMXN,-8
USDHKD,-1
USDINR,-2
USDJPY,-6
USDKRW,-9
USDMYR,-4
USDSGD,-4
USDTHB,-5
USDTWD,-3
USDZAR,-11
