ExchangeRateName,Shock
EURCZK,-6
EURHUF,-9
EURPLN,-5
EURRON,-2
EURSEK,-3
EURRSD,-2
EURNOK,-9
EURGBP,-5
EURCHF,-10
EURRUB,-44
EURTRY,-7
USDCAD,10
EURUSD,-12
AUDUSD,-15
NZDUSD,-15
USDARS,18
USDBRL,14
USDMXN,11
USDCNY,7
USDHKD,1
USDINR,8
USDJPY,16
USDKRW,12
USDMYR,6
USDSGD,5
USDTHB,10
USDTWD,7
USDZAR,20
