Rating,3M,6M,1Y,1.5Y,2Y
AAA,0.62,0.92,1.16,1.25,1.34
AA,0.62,0.92,1.16,1.26,1.36
A,0.63,0.93,1.18,1.26,1.36
BBB,0.64,0.94,1.21,1.28,1.36
Below BBB or unrated,0.83,1.22,1.58,1.67,1.76
