Country,3M,6M,1Y,1.5Y,2Y
DE,0.18,0.26,0.65,0.76,0.87
ES,0.22,0.42,0.99,1.11,1.23
FR,0.19,0.39,0.90,1.01,1.11
IT,0.19,0.36,0.80,0.93,1.07
NL,0.20,0.40,0.95,1.05,1.16
