Rating,3M,6M,1Y,1.5Y,2Y
AAA,0.19,0.33,0.80,0.91,1.02
AA,0.19,0.39,0.90,1.01,1.11
A,0.22,0.42,0.99,1.11,1.23
BBB,0.22,0.42,0.99,1.11,1.23
Below BBB or unrated,0.28,0.55,1.28,1.44,1.60
